canonical_material_id,material_name,material_aliases,NIST_isotherm_id,DOI,measurement_type,temperature_K,pressure_bar,pressure_units,relative_humidity_percent,uptake,uptake_units,uptake_kg_per_kg,adsorption_or_desorption_branch,activation_conditions,source_quality_flags
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.00136,bar,23.69,154.13,cm3(STP)/g,0.12388,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001415,bar,24.64,165.98,cm3(STP)/g,0.1334,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001431,bar,24.92,170.24,cm3(STP)/g,0.13683,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001474,bar,25.67,179.67,cm3(STP)/g,0.14441,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001488,bar,25.92,181.42,cm3(STP)/g,0.14581,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001541,bar,26.84,194.27,cm3(STP)/g,0.15614,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001552,bar,27.03,195.69,cm3(STP)/g,0.15728,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001603,bar,27.92,206.04,cm3(STP)/g,0.1656,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001664,bar,28.98,213.3,cm3(STP)/g,0.17144,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001734,bar,30.2,218.22,cm3(STP)/g,0.17539,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001803,bar,31.4,224.23,cm3(STP)/g,0.18022,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001869,bar,32.55,230.4,cm3(STP)/g,0.18518,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001978,bar,34.45,238.92,cm3(STP)/g,0.19203,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002043,bar,35.58,242.17,cm3(STP)/g,0.19464,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002112,bar,36.78,249.51,cm3(STP)/g,0.20054,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002173,bar,37.85,252.43,cm3(STP)/g,0.20289,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002225,bar,38.75,254.77,cm3(STP)/g,0.20477,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002283,bar,39.76,256.69,cm3(STP)/g,0.20631,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002372,bar,41.31,262.11,cm3(STP)/g,0.21067,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002441,bar,42.51,263.2,cm3(STP)/g,0.21154,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002473,bar,43.07,263.03,cm3(STP)/g,0.21141,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002562,bar,44.62,267.79,cm3(STP)/g,0.21523,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002627,bar,45.75,270.63,cm3(STP)/g,0.21752,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002654,bar,46.22,271.71,cm3(STP)/g,0.21838,adsorption,,digitized_from_figure;branch_inferred_from_point_order
